satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
passable,tres bien,high,306,4,no,yes,no,product_mng,medium
passable,excellent,high,295,4,no,yes,no,product_mng,medium
bien,bien,low,137,3,no,yes,no,marketing,medium
bien,bien,low,157,3,no,yes,no,sales,low
assez bien,bien,low,142,3,no,yes,no,accounting,low
bien,bien,low,140,3,no,yes,no,support,low
assez bien,bien,low,151,3,no,yes,no,technical,low
tres bien,bien,medium,139,3,no,yes,yes,management,low
excellent,excellent,medium,249,6,no,yes,no,marketing,low
passable,tres bien,high,291,4,no,yes,no,marketing,low
passable,excellent,high,305,4,no,yes,no,marketing,low
passable,excellent,medium,232,3,no,yes,no,sales,low
bien,bien,low,132,3,no,yes,no,sales,low
assez bien,bien,low,130,3,no,yes,no,sales,low
passable,tres bien,high,291,4,no,yes,no,sales,low
bien,bien,low,130,3,no,yes,no,sales,low
excellent,excellent,medium,246,5,no,yes,no,sales,low
bien,bien,low,143,3,no,yes,no,sales,low
bien,bien,low,129,3,no,yes,no,sales,low
passable,excellent,high,255,4,no,yes,no,sales,low
assez bien,bien,low,155,3,no,yes,no,sales,low
passable,tres bien,high,265,4,no,yes,no,sales,low
passable,excellent,high,279,4,no,yes,no,sales,low
passable,excellent,high,284,4,no,yes,no,sales,low
excellent,excellent,medium,221,6,no,yes,no,sales,medium
assez bien,bien,low,154,3,no,yes,no,sales,medium
assez bien,bien,low,147,3,no,yes,no,sales,medium
bien,bien,low,150,3,no,yes,no,sales,medium
passable,excellent,high,267,4,no,yes,no,sales,medium
bien,bien,low,158,3,no,yes,no,sales,medium
assez bien,bien,high,224,5,no,yes,no,accounting,medium
excellent,excellent,medium,257,5,no,yes,no,accounting,medium
bien,bien,low,148,3,no,yes,no,accounting,medium
tres bien,excellent,low,177,4,no,yes,no,hr,medium
bien,bien,low,155,3,no,yes,no,hr,medium
bien,bien,low,144,3,no,yes,no,hr,medium
passable,excellent,high,289,4,no,yes,no,hr,high
bien,bien,low,160,3,no,yes,no,technical,low
excellent,excellent,medium,258,5,no,yes,no,technical,medium
excellent,excellent,medium,234,5,no,yes,no,technical,medium
assez bien,bien,low,137,3,no,yes,no,technical,medium
excellent,tres bien,medium,263,2,no,yes,no,technical,medium
passable,excellent,high,251,4,no,yes,no,technical,low
assez bien,bien,low,133,3,no,yes,no,technical,low
bien,bien,low,132,3,no,yes,no,technical,low
passable,tres bien,medium,158,4,yes,yes,no,technical,low
bien,bien,low,135,3,no,yes,no,technical,low
tres bien,excellent,medium,216,6,no,yes,no,technical,low
passable,excellent,high,300,5,yes,yes,no,support,low
bien,bien,low,138,3,no,yes,no,support,low
passable,excellent,high,260,4,no,yes,no,support,low
assez bien,bien,low,132,3,no,yes,no,support,low
tres bien,excellent,low,183,5,no,yes,no,support,low
passable,excellent,high,250,4,no,yes,no,support,low
assez bien,bien,low,151,3,no,yes,no,support,low
passable,excellent,high,292,4,no,yes,no,support,low
assez bien,bien,low,140,3,no,yes,no,support,low
excellent,excellent,medium,221,5,no,yes,no,support,low
bien,bien,low,138,3,no,yes,no,support,low
assez bien,bien,low,132,3,no,yes,no,technical,low
assez bien,excellent,high,133,5,no,yes,no,technical,low
passable,excellent,high,283,4,yes,yes,no,technical,low
bien,bien,low,129,3,no,yes,no,management,low
tres bien,excellent,medium,249,5,no,yes,no,IT,low
tres bien,excellent,medium,257,5,no,yes,no,IT,low
passable,excellent,high,245,4,no,yes,no,IT,low
bien,bien,low,155,3,no,yes,no,IT,low
passable,excellent,high,256,4,no,yes,no,IT,low
assez bien,bien,low,152,3,no,yes,no,product_mng,low
excellent,excellent,medium,267,5,no,yes,no,product_mng,low
bien,bien,low,151,3,no,yes,no,product_mng,low
tres bien,excellent,medium,239,5,no,yes,no,product_mng,low
passable,excellent,high,306,4,no,yes,no,IT,low
excellent,excellent,medium,263,5,yes,yes,no,marketing,low
assez bien,bien,low,147,3,no,yes,no,marketing,low
passable,excellent,high,278,4,no,yes,no,marketing,low
bien,bien,low,154,3,no,yes,no,marketing,low
assez bien,bien,low,143,3,no,yes,no,marketing,low
bien,bien,low,155,3,no,yes,no,marketing,low
assez bien,bien,low,160,3,no,yes,no,sales,low
passable,excellent,high,304,4,no,yes,no,accounting,low
excellent,excellent,medium,240,5,no,yes,no,support,low
passable,excellent,high,305,4,no,yes,no,technical,low
assez bien,bien,low,136,3,no,yes,no,management,low
bien,bien,low,132,3,no,yes,no,marketing,low
passable,excellent,high,301,4,no,yes,no,marketing,low
excellent,excellent,medium,243,6,no,yes,no,marketing,low
bien,bien,low,147,3,no,yes,no,sales,low
tres bien,excellent,medium,239,5,no,yes,no,sales,low
excellent,excellent,medium,260,5,no,yes,no,sales,low
passable,excellent,high,296,4,no,yes,no,sales,low
bien,bien,low,129,3,no,yes,no,sales,low
assez bien,bien,medium,132,5,no,yes,no,sales,low
assez bien,bien,low,135,5,no,yes,no,sales,low
bien,bien,low,158,3,no,yes,no,sales,low
excellent,excellent,medium,259,5,no,yes,no,sales,low
bien,bien,low,160,3,no,yes,yes,sales,low
passable,tres bien,high,278,4,no,yes,no,sales,low
passable,excellent,high,284,4,no,yes,no,sales,low
tres bien,bien,low,274,4,no,yes,no,sales,low
bien,tres bien,medium,164,2,no,yes,no,sales,low
bien,bien,low,148,3,no,yes,no,sales,low
assez bien,bien,low,140,3,no,yes,no,sales,medium
assez bien,bien,low,127,3,no,yes,no,sales,medium
passable,excellent,high,308,5,no,yes,no,sales,medium
bien,bien,low,146,3,no,yes,no,sales,medium
passable,excellent,high,261,4,no,yes,no,accounting,medium
excellent,excellent,medium,257,5,no,yes,no,accounting,medium
passable,excellent,high,285,4,no,yes,no,accounting,medium
assez bien,bien,low,141,3,no,yes,no,hr,medium
bien,bien,low,127,3,no,yes,no,hr,medium
passable,excellent,high,297,4,no,yes,no,hr,medium
bien,bien,low,143,3,no,yes,no,hr,medium
assez bien,bien,low,152,3,no,yes,no,technical,medium
bien,bien,low,156,3,no,yes,no,technical,high
passable,excellent,high,283,5,no,yes,no,technical,low
excellent,excellent,medium,226,6,yes,yes,no,technical,medium
tres bien,excellent,medium,232,5,no,yes,no,technical,medium
passable,excellent,high,249,4,no,yes,no,technical,medium
excellent,excellent,medium,275,5,no,yes,no,technical,medium
passable,excellent,high,304,4,no,yes,no,technical,low
assez bien,bien,high,278,3,no,yes,no,technical,low
passable,excellent,high,287,4,no,yes,no,technical,low
passable,excellent,high,285,4,no,yes,no,technical,low
tres bien,excellent,medium,226,6,no,yes,no,support,low
excellent,excellent,medium,259,5,no,yes,no,support,low
assez bien,bien,low,135,3,no,yes,no,support,low
tres bien,excellent,medium,219,5,no,yes,no,support,low
passable,excellent,high,256,4,no,yes,no,support,low
excellent,excellent,medium,254,6,no,yes,no,support,low
assez bien,bien,low,153,3,no,yes,no,support,low
tres bien,excellent,medium,228,5,no,yes,no,support,low
tres bien,excellent,medium,228,5,no,yes,no,support,low
bien,bien,low,128,3,no,yes,no,support,low
assez bien,bien,low,153,3,no,yes,no,support,low
bien,bien,low,156,3,no,yes,no,technical,low
assez bien,bien,medium,294,3,no,yes,no,technical,low
excellent,excellent,medium,219,5,no,yes,no,technical,low
bien,bien,low,153,3,no,yes,no,management,low
bien,bien,low,151,3,no,yes,no,IT,low
assez bien,bien,low,155,3,no,yes,no,IT,low
assez bien,bien,low,158,3,no,yes,no,IT,low
excellent,excellent,medium,245,5,no,yes,no,IT,low
bien,bien,low,131,3,no,yes,no,IT,low
excellent,excellent,medium,225,5,no,yes,no,product_mng,low
passable,excellent,high,286,4,no,yes,no,product_mng,low
assez bien,bien,low,135,3,no,yes,no,product_mng,low
assez bien,bien,low,153,3,no,yes,no,product_mng,low
excellent,excellent,medium,252,5,no,yes,no,IT,low
bien,bien,low,149,3,no,yes,no,accounting,low
excellent,excellent,medium,258,5,no,yes,no,accounting,low
assez bien,bien,low,158,3,no,yes,no,hr,low
bien,bien,low,149,3,no,yes,no,hr,low
excellent,excellent,medium,236,5,no,yes,no,hr,low
tres bien,excellent,medium,239,6,no,yes,no,marketing,low
bien,bien,low,159,3,no,yes,no,marketing,low
excellent,excellent,medium,255,6,no,yes,no,sales,low
passable,excellent,high,244,4,no,yes,no,accounting,low
bien,bien,low,134,3,no,yes,no,support,low
bien,bien,medium,270,4,no,yes,no,technical,low
excellent,excellent,medium,255,5,no,yes,no,management,low
bien,bien,low,151,3,no,yes,no,marketing,low
bien,bien,low,135,3,no,yes,no,marketing,low
bien,bien,low,146,3,no,yes,no,marketing,low
passable,excellent,high,254,4,no,yes,no,sales,low
passable,excellent,high,289,4,no,yes,no,sales,low
assez bien,bien,low,156,3,no,yes,no,sales,low
assez bien,bien,low,156,3,no,yes,no,sales,low
bien,bien,low,128,3,no,yes,no,sales,low
excellent,excellent,medium,275,5,no,yes,no,sales,low
bien,bien,low,155,3,no,yes,no,sales,low
assez bien,bien,low,159,3,no,yes,no,sales,low
bien,bien,low,148,3,no,yes,no,sales,low
excellent,excellent,medium,228,5,no,yes,no,sales,low
passable,excellent,high,298,4,no,yes,no,sales,low
tres bien,excellent,medium,261,5,no,yes,no,sales,low
tres bien,excellent,medium,254,6,no,yes,no,sales,low
passable,bien,high,192,3,no,yes,no,sales,low
excellent,excellent,medium,248,5,no,yes,no,sales,low
tres bien,excellent,low,258,5,no,yes,no,sales,low
bien,bien,low,156,3,no,yes,no,sales,medium
passable,excellent,high,266,4,yes,yes,no,sales,medium
bien,bien,low,156,3,no,yes,no,sales,medium
excellent,excellent,medium,232,5,yes,yes,no,accounting,medium
passable,excellent,high,287,4,no,yes,no,accounting,medium
bien,bien,low,154,3,no,yes,no,accounting,medium
excellent,excellent,medium,263,5,no,yes,no,hr,medium
bien,bien,low,131,3,no,yes,no,hr,medium
passable,tres bien,high,260,4,no,yes,no,hr,medium
bien,bien,low,139,3,no,yes,no,hr,medium
excellent,excellent,medium,251,5,no,yes,no,technical,medium
passable,excellent,high,286,4,no,yes,no,technical,medium
bien,bien,low,129,3,no,yes,no,technical,high
assez bien,bien,low,156,3,no,yes,no,technical,low
assez bien,excellent,high,139,6,no,yes,no,technical,medium
bien,bien,low,127,3,no,yes,no,technical,medium
passable,excellent,high,251,4,no,yes,no,technical,medium
excellent,excellent,medium,270,5,no,yes,no,technical,medium
passable,excellent,high,296,4,no,yes,no,technical,low
passable,excellent,high,254,4,no,yes,no,technical,low
excellent,excellent,medium,238,6,no,yes,no,technical,low
passable,excellent,high,267,4,yes,yes,no,support,low
tres bien,excellent,medium,229,6,no,yes,no,support,low
passable,tres bien,high,254,4,no,yes,no,support,low
excellent,excellent,medium,233,4,yes,yes,no,support,low
passable,excellent,high,268,4,no,yes,no,support,low
assez bien,bien,low,301,3,no,yes,no,support,low
excellent,excellent,medium,267,6,no,yes,no,support,low
passable,excellent,high,289,4,yes,yes,no,support,low
assez bien,bien,low,144,3,no,yes,no,support,low
bien,bien,low,148,3,no,yes,no,support,low
passable,excellent,high,306,4,no,yes,no,support,low
passable,tres bien,high,292,4,no,yes,yes,technical,low
excellent,excellent,medium,232,5,no,yes,no,technical,low
assez bien,bien,low,137,3,no,yes,no,technical,low
bien,bien,low,128,3,no,yes,no,management,low
excellent,excellent,medium,231,5,no,yes,no,IT,low
bien,bien,low,146,3,no,yes,no,IT,low
passable,excellent,high,308,4,yes,yes,no,IT,low
passable,excellent,high,253,4,no,yes,no,IT,medium
assez bien,bien,low,146,3,no,yes,no,IT,medium
assez bien,bien,low,156,3,no,yes,no,product_mng,medium
bien,bien,low,147,3,no,yes,no,product_mng,medium
bien,bien,low,136,3,no,yes,no,product_mng,medium
tres bien,excellent,medium,249,5,no,yes,no,product_mng,medium
bien,bien,low,151,3,no,yes,no,IT,medium
passable,excellent,low,278,4,no,yes,no,RandD,medium
passable,tres bien,high,250,5,no,yes,no,RandD,medium
assez bien,bien,low,127,3,no,yes,no,RandD,medium
excellent,excellent,medium,255,5,no,yes,no,RandD,medium
bien,bien,low,135,3,no,yes,no,RandD,medium
assez bien,bien,low,149,3,no,yes,no,marketing,high
passable,excellent,medium,287,4,no,yes,no,sales,low
bien,bien,low,145,3,no,yes,no,accounting,medium
passable,excellent,high,285,4,no,yes,no,support,medium
passable,excellent,high,305,4,no,yes,no,technical,medium
passable,excellent,high,300,4,no,yes,no,management,medium
bien,bien,low,139,3,no,yes,no,marketing,low
bien,bien,low,130,3,no,yes,no,marketing,low
passable,excellent,high,268,4,no,yes,no,marketing,low
tres bien,excellent,medium,245,6,no,yes,no,sales,low
bien,bien,low,135,3,no,yes,no,sales,low
assez bien,bien,low,153,3,no,yes,no,sales,low
passable,excellent,high,276,4,no,yes,no,sales,low
bien,bien,low,130,3,no,yes,no,sales,low
bien,bien,low,153,3,yes,yes,no,sales,low
excellent,excellent,medium,244,5,no,yes,no,sales,low
tres bien,bien,low,253,3,no,yes,no,sales,low
passable,excellent,high,287,4,no,yes,no,sales,low
assez bien,bien,low,131,3,no,yes,no,sales,low
bien,bien,low,135,3,no,yes,no,sales,low
assez bien,bien,low,157,3,no,yes,no,sales,low
excellent,excellent,medium,262,6,no,yes,no,sales,low
passable,excellent,high,266,4,no,yes,no,sales,low
bien,bien,low,148,3,no,yes,no,sales,low
assez bien,bien,low,140,3,no,yes,no,sales,low
passable,excellent,high,302,4,no,yes,no,sales,low
passable,excellent,high,271,4,no,yes,no,sales,low
bien,bien,low,145,3,no,yes,no,sales,medium
passable,excellent,high,290,4,no,yes,no,accounting,medium
bien,bien,low,151,3,no,yes,no,accounting,medium
tres bien,excellent,medium,266,5,no,yes,no,accounting,medium
bien,bien,low,140,3,no,yes,no,hr,medium
assez bien,bien,low,142,3,no,yes,no,hr,medium
passable,excellent,high,246,4,no,yes,no,hr,medium
passable,excellent,high,308,5,no,yes,no,hr,medium
assez bien,bien,low,141,3,no,yes,no,technical,medium
excellent,excellent,medium,232,5,no,yes,no,technical,medium
bien,bien,low,143,3,no,yes,no,technical,medium
assez bien,bien,low,155,3,no,yes,no,technical,medium
passable,excellent,high,278,4,no,yes,no,technical,high
excellent,excellent,medium,253,5,no,yes,no,technical,low
passable,excellent,high,282,4,no,yes,no,technical,medium
passable,excellent,high,264,4,no,yes,no,technical,medium
bien,bien,low,149,3,no,yes,no,technical,medium
passable,excellent,high,304,5,no,yes,no,technical,medium
bien,excellent,low,219,6,no,yes,no,technical,low
excellent,excellent,medium,262,6,no,yes,no,support,low
bien,bien,low,135,3,no,yes,no,support,low
assez bien,excellent,high,219,5,no,yes,no,support,low
bien,bien,low,136,3,no,yes,no,support,low
bien,bien,low,154,3,no,yes,no,support,low
assez bien,bien,low,149,3,no,yes,no,support,low
assez bien,tres bien,high,135,5,no,yes,no,support,low
passable,excellent,high,275,4,no,yes,no,support,low
passable,excellent,high,290,4,no,yes,no,support,low
tres bien,excellent,medium,263,5,no,yes,no,support,low
bien,bien,low,145,3,no,yes,no,support,low
tres bien,excellent,medium,267,5,no,yes,no,technical,low
bien,bien,low,141,3,yes,yes,no,technical,low
excellent,excellent,medium,235,5,no,yes,no,technical,low
passable,excellent,high,258,4,no,yes,no,management,low
bien,bien,low,131,3,no,yes,no,IT,low
excellent,excellent,medium,243,5,no,yes,no,IT,low
passable,excellent,high,266,4,no,yes,no,IT,low
assez bien,bien,low,142,3,no,yes,no,IT,low
assez bien,bien,low,135,3,no,yes,no,IT,low
assez bien,bien,low,141,3,no,yes,no,product_mng,medium
assez bien,bien,low,142,3,no,yes,no,product_mng,medium
excellent,excellent,medium,254,5,no,yes,no,product_mng,medium
tres bien,excellent,medium,262,5,no,yes,no,product_mng,medium
bien,tres bien,medium,296,2,no,yes,no,IT,medium
bien,bien,low,158,3,no,yes,no,accounting,medium
assez bien,bien,medium,238,2,no,yes,no,accounting,medium
tres bien,excellent,medium,231,5,no,yes,no,hr,medium
bien,bien,low,156,3,no,yes,no,hr,medium
assez bien,bien,low,145,3,no,yes,no,hr,medium
bien,bien,low,144,3,no,yes,no,marketing,medium
assez bien,bien,low,159,3,no,yes,no,sales,medium
assez bien,bien,low,156,3,no,yes,no,accounting,high
tres bien,excellent,medium,256,5,no,yes,no,support,low
passable,excellent,high,298,4,no,yes,no,technical,medium
passable,excellent,high,247,4,no,yes,no,management,medium
bien,bien,low,157,3,no,yes,no,marketing,medium
bien,bien,low,154,3,yes,yes,no,marketing,medium
tres bien,excellent,medium,253,5,no,yes,no,marketing,low
bien,bien,low,148,3,no,yes,no,sales,low
excellent,excellent,medium,261,5,no,yes,no,sales,low
passable,excellent,high,282,4,no,yes,no,sales,low
bien,bien,low,133,3,no,yes,no,sales,low
bien,bien,low,128,3,no,yes,no,sales,low
bien,bien,low,139,3,no,yes,no,sales,low
passable,tres bien,high,293,5,no,yes,no,sales,low
excellent,excellent,medium,265,6,no,yes,no,sales,low
passable,excellent,high,250,4,no,yes,no,sales,low
excellent,excellent,medium,251,6,no,yes,no,sales,low
tres bien,excellent,medium,246,5,no,yes,no,sales,low
tres bien,excellent,medium,275,5,no,yes,no,sales,low
excellent,excellent,medium,240,5,no,yes,no,sales,low
tres bien,excellent,medium,245,5,no,yes,no,sales,low
bien,bien,medium,254,4,no,yes,no,sales,low
tres bien,excellent,medium,241,5,no,yes,no,sales,low
passable,excellent,high,257,4,no,yes,no,sales,low
excellent,excellent,medium,246,5,no,yes,no,sales,low
excellent,excellent,medium,233,5,no,yes,no,sales,low
assez bien,bien,high,218,4,no,yes,no,accounting,low
excellent,excellent,medium,262,6,no,yes,no,accounting,medium
bien,bien,low,138,3,no,yes,no,accounting,medium
bien,bien,low,142,3,no,yes,no,hr,medium
excellent,excellent,medium,233,5,no,yes,no,hr,medium
bien,bien,low,155,3,no,yes,no,hr,medium
excellent,excellent,medium,229,6,no,yes,no,hr,medium
passable,excellent,high,264,4,no,yes,no,technical,medium
bien,bien,low,199,4,no,yes,no,technical,medium
excellent,excellent,medium,223,5,no,yes,no,technical,medium
passable,excellent,high,268,4,no,yes,no,technical,medium
passable,excellent,high,287,4,no,yes,no,technical,medium
excellent,excellent,medium,257,5,no,yes,no,technical,medium
bien,bien,low,143,3,no,yes,no,technical,high
bien,bien,low,130,3,no,yes,no,technical,low
bien,bien,low,136,3,no,yes,no,technical,medium
tres bien,excellent,medium,261,5,no,yes,no,technical,medium
bien,tres bien,low,180,4,no,yes,no,technical,medium
assez bien,bien,low,126,3,no,yes,no,support,medium
bien,bien,low,127,3,yes,yes,no,support,low
excellent,tres bien,medium,195,6,no,yes,no,support,low
bien,bien,low,160,3,no,yes,no,support,low
bien,bien,low,150,3,no,yes,no,support,low
excellent,excellent,medium,264,6,no,yes,no,support,low
passable,excellent,high,309,4,no,yes,no,support,low
bien,bien,low,135,3,no,yes,no,support,low
passable,excellent,high,261,4,no,yes,no,support,low
bien,bien,low,160,3,no,yes,no,support,low
tres bien,excellent,medium,237,5,no,yes,no,support,low
bien,bien,low,136,3,no,yes,no,technical,low
bien,bien,low,139,3,no,yes,no,technical,low
assez bien,tres bien,low,151,4,no,yes,no,technical,low
tres bien,excellent,medium,229,5,no,yes,no,management,low
excellent,excellent,medium,245,5,no,yes,no,IT,low
assez bien,bien,low,127,3,no,yes,no,IT,low
passable,excellent,high,283,5,no,yes,no,IT,low
bien,bien,low,143,3,no,yes,no,IT,low
passable,excellent,medium,298,4,no,yes,no,IT,low
assez bien,bien,low,159,3,no,yes,no,product_mng,low
excellent,excellent,medium,239,5,no,yes,no,product_mng,low
excellent,excellent,medium,226,5,no,yes,no,product_mng,medium
excellent,excellent,medium,248,5,no,yes,no,product_mng,medium
passable,excellent,high,286,4,no,yes,no,IT,medium
assez bien,bien,low,145,3,no,yes,no,RandD,medium
passable,excellent,high,254,4,yes,yes,no,RandD,medium
bien,bien,low,127,3,no,yes,no,RandD,medium
excellent,excellent,medium,223,5,no,yes,no,RandD,medium
tres bien,excellent,medium,255,5,no,yes,no,RandD,medium
bien,bien,low,136,3,no,yes,no,marketing,medium
bien,bien,low,137,3,no,yes,no,sales,medium
bien,bien,low,135,3,no,yes,no,accounting,medium
bien,bien,low,137,3,no,yes,no,support,medium
excellent,bien,low,255,5,no,yes,no,technical,high
excellent,excellent,medium,273,5,no,yes,no,management,low
excellent,excellent,medium,234,5,no,yes,no,marketing,medium
assez bien,bien,low,152,3,no,yes,no,marketing,medium
assez bien,bien,low,134,3,no,yes,no,marketing,medium
passable,excellent,high,292,4,no,yes,no,sales,medium
excellent,excellent,medium,245,5,no,yes,no,sales,low
bien,bien,low,159,3,no,yes,no,sales,low
passable,excellent,high,260,4,no,yes,no,sales,low
bien,bien,low,149,3,no,yes,no,sales,low
excellent,excellent,medium,266,5,no,yes,no,sales,low
bien,bien,low,149,3,no,yes,no,sales,low
excellent,excellent,medium,242,5,no,yes,no,sales,low
bien,bien,low,134,3,no,yes,no,sales,low
passable,excellent,medium,271,4,no,yes,no,sales,low
passable,tres bien,high,275,4,no,yes,no,sales,low
tres bien,excellent,medium,227,5,no,yes,no,sales,low
passable,excellent,high,277,5,no,yes,no,sales,low
assez bien,bien,low,151,3,no,yes,no,sales,low
passable,tres bien,high,274,4,no,yes,no,sales,low
tres bien,excellent,medium,242,6,no,yes,no,sales,low
bien,bien,low,143,3,yes,yes,no,sales,low
assez bien,bien,low,145,3,no,yes,no,sales,low
assez bien,excellent,medium,172,2,no,yes,no,sales,low
assez bien,bien,low,135,3,no,yes,no,accounting,low
passable,excellent,medium,192,4,no,yes,no,accounting,low
passable,excellent,high,276,4,no,yes,no,accounting,low
tres bien,excellent,medium,206,4,no,yes,no,hr,medium
bien,bien,medium,281,6,no,yes,no,hr,medium
assez bien,bien,low,151,3,no,yes,no,hr,medium
passable,excellent,high,244,4,no,yes,no,hr,medium
passable,excellent,high,309,4,no,yes,no,technical,medium
excellent,excellent,medium,218,5,no,yes,no,technical,medium
excellent,excellent,medium,263,6,no,yes,no,technical,medium
passable,excellent,high,244,4,no,yes,no,technical,medium
bien,bien,high,263,4,no,yes,no,technical,medium
bien,bien,low,143,3,no,yes,no,technical,medium
excellent,excellent,low,181,5,no,yes,no,technical,medium
excellent,excellent,medium,265,5,no,yes,no,technical,medium
tres bien,bien,medium,161,5,no,yes,no,technical,high
passable,excellent,high,282,5,no,yes,no,technical,low
bien,bien,low,155,3,no,yes,no,technical,medium
tres bien,excellent,medium,217,6,no,yes,no,support,medium
passable,excellent,high,289,5,no,yes,no,support,medium
excellent,excellent,medium,259,5,no,yes,no,support,medium
assez bien,bien,low,158,3,no,yes,no,support,low
assez bien,bien,low,158,3,no,yes,no,support,low
assez bien,bien,low,155,3,no,yes,no,support,low
bien,bien,low,146,3,no,yes,no,support,low
bien,excellent,low,164,5,no,yes,no,support,low
passable,excellent,high,259,4,no,yes,no,support,low
passable,excellent,high,293,4,no,yes,no,support,low
excellent,excellent,medium,275,5,no,yes,no,support,low
excellent,excellent,medium,219,6,yes,yes,no,technical,low
passable,excellent,high,247,4,no,yes,no,technical,low
passable,excellent,high,309,4,no,yes,no,technical,low
bien,bien,low,151,3,no,yes,no,management,low
assez bien,bien,low,129,3,no,yes,no,IT,low
excellent,excellent,medium,274,5,no,yes,no,IT,low
tres bien,excellent,medium,233,5,no,yes,no,IT,low
passable,excellent,high,289,4,no,yes,no,IT,low
tres bien,excellent,medium,239,6,no,yes,no,IT,low
tres bien,excellent,medium,221,5,no,yes,no,product_mng,low
bien,bien,low,150,3,no,yes,no,product_mng,low
bien,bien,low,144,3,yes,yes,no,product_mng,low
passable,excellent,high,289,4,no,yes,no,product_mng,low
passable,excellent,high,301,5,no,yes,no,IT,medium
assez bien,bien,low,145,3,no,yes,no,accounting,medium
bien,bien,low,137,3,no,yes,no,accounting,medium
assez bien,bien,low,131,3,yes,yes,no,hr,medium
passable,excellent,high,246,4,no,yes,no,hr,medium
